Key,Institution,Recruitment,RecruitInterest,Type,Date,DefaultName
368314,24099,152049,788427,OfficialVisit,2023-06-16 17:35:00,368314
367977,24099,162640,831456,HardCommit,2023-02-02 19:36:00,367977
366961,24099,143405,808921,HardCommit,2023-01-28 14:54:00,366961
367978,24099,162640,831456,OfficialVisit,2023-01-13 20:11:00,367978
365939,24099,147632,780528,HardCommit,2023-01-07 12:34:00,365939
361367,24099,147632,780528,OfficialVisit,2022-12-09 20:48:00,361367
361823,24099,144518,801486,OfficialVisit,2022-12-09 20:19:00,361823
361623,24099,151372,755850,OfficialVisit,2022-12-09 18:55:00,361623
361359,24099,130421,730024,OfficialVisit,2022-12-09 16:04:00,361359
361941,24099,140017,731037,OfficialVisit,2022-12-09 13:46:00,361941
