predictor,forecast,recruit,properties,destination,check,link
Nick Harris, forecasts ,Caden Jones,"(2023, 3-star OT) ", to Florida.,Nick Harris Caden Jones  to Florida.,https://n.rivals.com/content/prospects/2023/caden-jones-271608
Jason Higdon, updates forecast for ,Mark Fletcher,"(2023, 4-star RB) ",from Florida to Miami (FL).,Jason Higdon Mark Fletcher from Florida to Miami (FL).,https://n.rivals.com/content/prospects/2023/mark-fletcher-236844
Jason Higdon,'s forecast of ,Samson Okunlola,"(2023, 5-star OT) ", to Florida is now unlikely.,Jason Higdon Samson Okunlola  to Florida is now unlikely.,https://n.rivals.com/content/prospects/2023/samson-okunlola-270167
Jason Higdon, forecasts ,Samson Okunlola,"(2023, 5-star OT) ", to Florida.,Jason Higdon Samson Okunlola  to Florida.,https://n.rivals.com/content/prospects/2023/samson-okunlola-270167
HRodriguez, forecasts ,DJ Lagway,"(2024, 4-star DUAL) ", to Florida.,HRodriguez DJ Lagway  to Florida.,https://n.rivals.com/content/prospects/2024/dj-lagway-277566
Adam Friedman, forecasts ,Mark Fletcher,"(2023, 4-star RB) ", to Florida.,Adam Friedman Mark Fletcher  to Florida.,https://n.rivals.com/content/prospects/2023/mark-fletcher-236844
Jason Higdon, forecasts ,Mark Fletcher,"(2023, 4-star RB) ", to Florida.,Jason Higdon Mark Fletcher  to Florida.,https://n.rivals.com/content/prospects/2023/mark-fletcher-236844
Jason Higdon, forecasts ,DJ Lagway,"(2024, 4-star DUAL) ", to Florida.,Jason Higdon DJ Lagway  to Florida.,https://n.rivals.com/content/prospects/2024/dj-lagway-277566
HRodriguez, forecasts ,Bryce Thornton,"(2023, 4-star S) ", to Florida.,HRodriguez Bryce Thornton  to Florida.,https://n.rivals.com/content/prospects/2023/bryce-thornton-258530
Jason Higdon, forecasts ,Kayden McDonald,"(2023, 4-star DT) ", to Florida.,Jason Higdon Kayden McDonald  to Florida.,https://n.rivals.com/content/prospects/2023/kayden-mcdonald-270364
Jason Higdon, forecasts ,Dijon Johnson,"(2023, 4-star CB) ", to Florida.,Jason Higdon Dijon Johnson  to Florida.,https://n.rivals.com/content/prospects/2023/dijon-johnson-277838
