Key,Institution,Recruitment,RecruitInterest,Type,Date,DefaultName
360538,24099,141267,734021,OfficialVisit,12/2/2022 14:05,360538
360189,24099,146874,749019,HardCommit,10/24/2022 18:16,360189
359572,24099,140407,752424,OfficialVisit,10/14/2022 13:28,359572
359573,24099,136875,809058,OfficialVisit,10/14/2022 13:28,359573
359887,24099,146269,805384,OfficialVisit,10/14/2022 12:16,359887
355242,24099,150299,774075,OfficialVisit,10/14/2022 11:32,355242
359971,24099,151372,755850,HardCommit,10/13/2022 18:04,359971
359963,24099,150299,774075,HardCommit,10/13/2022 14:43,359963
359329,24099,143766,807119,HardCommit,9/18/2022 10:36,359329
359005,24099,158497,811032,OfficialVisit,9/17/2022 21:57,359005
358191,24099,151763,778796,HardCommit,8/14/2022 12:06,358191
358189,24099,154104,775076,HardCommit,8/14/2022 11:37,358189
358183,24099,142419,767849,HardCommit,8/13/2022 19:05,358183
358176,24099,137176,703607,HardCommit,8/13/2022 14:15,358176
358086,24099,145748,805097,HardCommit,8/10/2022 19:08,358086
357619,24099,140299,779147,HardCommit,7/30/2022 13:11,357619
357611,24099,139747,754897,HardCommit,7/30/2022 9:56,357611
357576,24099,150949,778334,HardCommit,7/29/2022 13:43,357576
357548,24099,152927,794969,HardCommit,7/28/2022 18:55,357548
357024,24099,148384,774154,HardCommit,7/8/2022 15:13,357024
356995,24099,114995,632729,HardCommit,7/7/2022 15:42,356995
356990,24099,146269,805384,HardCommit,7/7/2022 15:06,356990
356870,24099,144003,772816,HardCommit,7/4/2022 9:22,356870
356734,24099,156121,804900,HardCommit,6/29/2022 16:32,356734
356568,24099,136733,658193,HardCommit,6/27/2022 18:55,356568
356413,24099,144518,801486,HardCommit,6/25/2022 20:05,356413
355683,24099,146874,749019,OfficialVisit,6/24/2022 19:18,355683
353155,24099,140299,779147,OfficialVisit,6/24/2022 13:39,353155
353908,24099,153849,790059,OfficialVisit,6/24/2022 10:13,353908
356076,24099,153012,772027,HardCommit,6/21/2022 12:51,356076
353081,24099,147859,764140,OfficialVisit,6/20/2022 14:36,353081
353754,24099,145993,782312,OfficialVisit,6/20/2022 6:38,353754
355048,24099,142298,773489,OfficialVisit,6/17/2022 20:29,355048
353004,24099,148384,774154,OfficialVisit,6/17/2022 16:07,353004
355657,24099,148922,793942,OfficialVisit,6/17/2022 14:38,355657
355111,24099,135133,775378,OfficialVisit,6/17/2022 13:50,355111
353857,24099,153012,772027,OfficialVisit,6/17/2022 13:12,353857
352401,24099,127003,625310,OfficialVisit,6/17/2022 12:50,352401
354155,24099,154104,775076,OfficialVisit,6/17/2022 9:48,354155
