Key,Name,Abbreviation,TaxRate,Region,Country,DefaultName,BettingUrl,PixelTrackingValue,DoubleClickTrackingValue
2,Alabama,AL,0,2,1,Alabama (AL),,,
31,Alaska,AK,0,1,1,Alaska (AK),,,
120,Albania,ALBA,0,6,2,Albania (ALBA),,,
53,Alberta,AB,0,6,,Alberta (AB),,,
361,Alberta,AB,0,6,34,Alberta (AB),,,
121,Algeria,ALGE,0,6,3,Algeria (ALGE),,,
83,American Samoa,AS,0,6,,American Samoa (AS),,,
122,American Samoa,AMER,0,6,4,American Samoa (AMER),,,
106,Andalusia,AN,0,6,,Andalusia (AN),,,
123,Andorra,ANDO,0,6,5,Andorra (ANDO),,,
124,Anguilla,ANGU,0,6,6,Anguilla (ANGU),,,
125,Antigua & Barbuda,ANTI,0,6,7,Antigua & Barbuda (ANTI),,,
98,Antwerp,AN,0,6,,Antwerp (AN),,,
126,Argentina,ARGE,0,6,8,Argentina (ARGE),,,
42,Arizona,AZ,0,1,1,Arizona (AZ),,,
36,Arkansas,AR,0,2,1,Arkansas (AR),,,
69,Armed Forces (apo),APO,0,6,,Armed Forces (apo) (APO),,,
66,Armed Forces Europe,AE,0,6,,Armed Forces Europe (AE),,,
67,Armed Forces Orient,FPO,0,6,,Armed Forces Orient (FPO),,,
97,Armed Forces Pacific,AP,0,6,,Armed Forces Pacific (AP),,,
127,Aruba,ARUB,0,6,9,Aruba (ARUB),,,
78,Auckland,AC,0,6,,Auckland (AC),,,
128,Australia,AUST,0,6,10,Australia (AUST),,,
129,Austria,AUST,0,6,11,Austria (AUST),,,
130,Azores,AZOR,0,6,12,Azores (AZOR),,,
92,Baden,BD,0,6,,Baden (BD),,,
119,Baden-WÃ¼rttemberg,BW,0,6,,Baden-WÃ¼rttemberg (BW),,,
131,Bahamas,BAHA,0,6,13,Bahamas (BAHA),,,
132,Bahrain,BAHR,0,6,14,Bahrain (BAHR),,,
133,Bangladesh,BANG,0,6,15,Bangladesh (BANG),,,
134,Barbados,BARB,0,6,16,Barbados (BARB),,,
111,Bavaria,BV,0,6,,Bavaria (BV),,,
137,Belarus,BELA,0,6,19,Belarus (BELA),,,
135,Belgium,BELG,0,6,17,Belgium (BELG),,,
136,Belize,BELI,0,6,18,Belize (BELI),,,
138,Benin,BENI,0,6,20,Benin (BENI),,,
99,Berlin,BE,0,6,,Berlin (BE),,,
139,Bermuda,BERM,0,6,21,Bermuda (BERM),,,
140,Bolivia,BOLI,0,6,22,Bolivia (BOLI),,,
141,Bonaire,BONA,0,6,23,Bonaire (BONA),,,
142,Bosnia,BOSN,0,6,24,Bosnia (BOSN),,,
143,Botswana,BOTS,0,6,25,Botswana (BOTS),,,
144,Brazil,BRAZ,0,6,26,Brazil (BRAZ),,,
54,British Columbia,BC,0,6,,British Columbia (BC),,,
358,British Columbia,BC,0,6,34,British Columbia (BC),,,
145,British Virgin Islands,BRIT,0,6,27,British Virgin Islands (BRIT),,,
146,Brunei,BRUN,0,6,28,Brunei (BRUN),,,
147,Bulgaria,BULG,0,6,29,Bulgaria (BULG),,,
148,Burkina Faso,BURK,0,6,30,Burkina Faso (BURK),,,
149,Burundi,BURU,0,6,31,Burundi (BURU),,,
84,Cairo,CI,0,6,,Cairo (CI),,,
24,California,CA,0,1,1,California (CA),,,
150,Cambodia,CAMB,0,6,32,Cambodia (CAMB),,,
151,Cameroon,CAME,0,6,33,Cameroon (CAME),,,
152,Canada,CANA,0,6,34,Canada (CANA),,,
153,Canary Islands,CANA,0,6,35,Canary Islands (CANA),,,
154,Cape Verde Islands,CAPE,0,6,36,Cape Verde Islands (CAPE),,,
155,Cayman Islands,CAYM,0,6,37,Cayman Islands (CAYM),,,
156,Central African Republic,CENT,0,6,38,Central African Republic (CENT),,,
157,Chad,CHAD,0,6,39,Chad (CHAD),,,
158,Channel Islands,CHAN,0,6,40,Channel Islands (CHAN),,,
94,Cherkasy,CY,0,6,,Cherkasy (CY),,,
159,Chile,CHIL,0,6,41,Chile (CHIL),,,
160,"China, Peoples Republic of",CHIN,0,6,42,"China, Peoples Republic of (CHIN)",,,
161,Colombia,COLO,0,6,43,Colombia (COLO),,,
40,Colorado,CO,0,1,1,Colorado (CO),https://whus.onelink.me/Othi?pid=viacomcbs&utm_source=viacomcbs&af_prt=viacomcbs&ar=247nav&af_click=30d&c=nav7120&utm_campaign=nav7120&af_channel=organic&utm_medium=organic&af_c_id=GAMERF&utm_offer=GAMERF&bc=GAMERF&zone=247&af_ad=[VGUID]&utm_banner=[VGUID],280661551,474678258;280661551;u
162,Congo,CONG,0,6,44,Congo (CONG),,,
48,Connecticut,CT,0,5,1,Connecticut (CT),,,
163,Cook Islands,COOK,0,6,45,Cook Islands (COOK),,,
164,Costa Rica,COST,0,6,46,Costa Rica (COST),,,
165,Croatia,CROA,0,6,47,Croatia (CROA),,,
166,Curacao,CURA,0,6,48,Curacao (CURA),,,
